pointLabel,description,source,lambda,thetaOverPi,D,chi,dph,validObs,energy,energyPerSite,meanPhotonNumber,rhoSR,j12,j23,j34,j41,j13,j24,chiSquare,chiTri123,chiTri134,chiTri124,chiTri234,meanAbsChiTri,Ttri,Ctri,Qtri,QtriPlus,Cdiag,SdiagNumerator,Sdiag,AdiagNumerator,Adiag,PtriNumerator,PtriDenominator,Ptri,loopError,sectorLabel
square_dominant,square-dominant representative point,,0.6,0,2,8,3,1,NaN,-1.3449222515946,0.564265203941808,0.485598985702549,-0.000197908568829678,0.152527028132267,0.000246295940872282,-0.000466640706238337,0.0658482388763747,0.0659384483564379,0.152108774798071,0.0864808806870626,0.0656278941110087,0.0652738990813699,0.0868348757167013,0.0760543873990356,0,0.304217549596143,0,0,0.131786687232813,-9.02094800631775e-05,-0.000684511326275427,-9.02094800631775e-05,-0.000684511326275427,0.0424139632113853,0.304217549596143,0.139419843686504,0,square-dominant
triangular_enhanced,triangular-enhanced representative point,,-0.6,0,2,8,3,1,NaN,-1.34441324499395,0.564772356612738,0.485906975565625,2.46040436994639e-05,0.150400747185209,0.000125189498965847,-0.000574633701623997,-0.066015489320577,-0.065991817305623,0.14997590702625,0.216440840549485,-0.0664649335232351,-0.0665418469635476,0.216517753989798,0.141491343756517,0.133006780486783,0.432958594539283,0.307204388974694,0.307204388974694,0.1320073066262,2.36720149539432e-05,0.000179323520484925,-2.36720149539432e-05,-0.000179323520484925,0.565965375026066,0.565965375026066,1,0,triangular-enhanced
diagonal_selected,diagonal-selected representative point,,0.6,0.25,2,8,3,1,NaN,-1.34926775779454,0.564994486707554,0.486280182799057,-0.0094684121010032,0.151627731360197,0.00957091286032655,0.000118014600801054,0.0931827674142076,0.00556017843927329,0.151848246720321,0.0489765518449857,0.102871694875335,-0.00379021906092886,0.15563846578125,0.0778192328906249,0.00379021906092886,0.307486712501571,0.0123264482881012,0.0123264482881012,0.0987429458534809,0.0876225889749343,0.887380746215052,0.0876225889749343,0.887380746215052,0.213323827872528,0.3112769315625,0.685318461608184,0,diagonal-selected
mixed,mixed routing representative point,,-0.6,0.25,2,8,3,1,NaN,-1.34947359583401,0.564274363119624,0.485907874850298,0.00949651933908142,0.151493834257578,-0.00959833842827031,-5.02219773135307e-05,-0.0930675042282513,0.00570967331422623,0.151341793191076,0.254057857824911,-0.102716064633835,0.0151559706759941,0.136185822515082,0.127028928912456,0.102716064633835,0.405399651015987,0.253369889136349,0.253369889136349,0.0987771775424775,0.0873578309140251,0.88439286369018,-0.0987771775424775,-1,0.477803774297834,0.508115715649822,0.940344412860321,0,mixed
