pointLabel,pointDescription,lambda,thetaOverPi,D,chi,dph,alphaSeed,alphaPattern,ok,validObs,runtimeSec,energyPerSite,energyNNCTM,energyNNNCoh,rhoSR,meanPhotonNumber,j12,j23,j34,j41,j13,j24,chiSquare,meanAbsChiTri,triangularImbalance,diagSelectionSigned,Rtri,Rdiag,loopIdentityError,phaseCode,patternLabel,backend,diagonalEstimator,message
square_dominant,square-dominant representative point,0.6,0,2,8,3,0.8,uniform,1,1,1.2952931,-1.3449222515946,-1.3449222515946,-6.93889390390723e-18,0.485598985702549,0.564265203941808,-0.000197908568829678,0.152527028132267,0.000246295940872282,-0.000466640706238337,0.0658482388763747,0.0659384483564379,0.152108774798071,0.0761417017885319,0.0206882923282125,-9.02094800631775e-05,0.500574025986417,0.000684511326275426,0,2,115,quare,splitFactoredCTM_coherentNNN_SAFE,coherent,ok
triangular_enhanced,triangular-enhanced representative point,-0.6,0,2,8,3,0.8,uniform,1,1,1.2536365,-1.34441324499395,-1.34441324499395,6.93889390390723e-18,0.485906975565625,0.564772356612738,2.46040436994639e-05,0.150400747185209,0.000125189498965847,-0.000574633701623997,-0.066015489320577,-0.065991817305623,0.14997590702625,0.141509260368493,0.283018512642961,-2.36720149539432e-05,0.943546621416493,0.000179323520484925,0,3,116,ri-enh,splitFactoredCTM_coherentNNN_SAFE,coherent,ok
diagonal_selected,diagonal-selected representative point,0.6,0.25,2,8,3,0.8,uniform,1,1,1.2453715,-1.34926775779454,-1.34368462134379,-0.00558313645074864,0.486280182799057,0.564994486707554,-0.0094684121010032,0.151627731360197,0.00957091286032655,0.000118014600801054,0.0931827674142076,0.00556017843927329,0.151848246720321,0.0805424360673155,0.112100725884503,0.0876225889749343,0.530414000865358,0.88738074621505,0,4,100,iag,splitFactoredCTM_coherentNNN_SAFE,coherent,ok
mixed,mixed routing representative point,-0.6,0.25,2,8,3,0.8,uniform,1,1,1.2167431,-1.34947359583401,-1.34375151490643,-0.00572208092758077,0.485907874850298,0.564274363119624,0.00949651933908142,0.151493834257578,-0.00959833842827031,-5.02219773135307e-05,-0.0930675042282513,0.00570967331422623,0.151341793191076,0.127111555457803,0.244732649509541,-0.0987771775424775,0.839897247003796,0.999999999999998,0,5,116,ri+diag,splitFactoredCTM_coherentNNN_SAFE,coherent,ok
