pointLabel,description,source,lambda,thetaOverPi,D,chi,dph,validObs,energy,energyPerSite,meanPhotonNumber,rhoSR,j12,j23,j34,j41,j13,j24,chiSquare,chiTri123,chiTri134,chiTri124,chiTri234,meanAbsChiTri,Ttri,Ctri,Qtri,QtriPlus,Cdiag,SdiagNumerator,Sdiag,AdiagNumerator,Adiag,PtriNumerator,PtriDenominator,Ptri,loopError,sectorLabel
square_dominant,square-dominant representative point,semiclassical,0.6,0,NaN,NaN,NaN,1,-11.9840085635267,-2.99600214088167,4.6286151580601,4.6286151580601,0.249149571282157,1.19616217113337,0.249149535670057,0.222631382144329,0.406662204494682,0.406662190906496,1.91709266022991,1.03864953792085,0.878443122309069,0.878443144332982,1.03864951589693,0.958546330114957,-2.22044604925031e-16,3.83418532045983,-5.79118082112947e-17,0,0.813324395401178,1.3588186520419e-08,1.67069703026879e-08,1.3588186520419e-08,1.67069703026879e-08,0.320412787175727,3.83418532045983,0.0835673710047225,1.15823616422589e-16,square-dominant
triangular_enhanced,triangular-enhanced representative point,semiclassical,-0.6,0,NaN,NaN,NaN,1,-9.69157380193062,-2.42289345048265,2.9220433715733,2.9220433715733,0.101717939189736,0.796770473707221,0.101717933458556,-0.082036028699989,-0.379687493767076,-0.379687492457453,0.918170317655523,1.27817590666403,-0.360005589008509,-0.360005581967706,1.27817589962323,0.819090744315869,0.720011170976215,2.55635180628726,0.281655744410989,0.281655744410989,0.759374986224529,1.30962340971763e-09,1.72460699058424e-09,-1.30962340971763e-09,-1.72460699058424e-09,3.27636297726348,3.27636297726348,1,0,triangular-enhanced
diagonal_selected,diagonal-selected representative point,semiclassical,0.6,0.25,NaN,NaN,NaN,1,-11.6193559847749,-2.90483899619373,4.34072431869266,4.34072431869266,0.0758470389908186,1.13053500526035,0.368198692684163,0.171754128081519,0.721475163132808,-0.146066570400593,1.74633486501685,0.484906881118362,1.26142798389849,0.101534596671744,1.64480026834511,0.873167432508426,0,3.4926697300337,0,0,0.867541733533401,0.575408592732215,0.663263299609392,0.867541733533401,1,2.31978677445349,3.4926697300337,0.664187270415375,0,diagonal-selected
mixed,mixed routing representative point,semiclassical,-0.6,0.25,NaN,NaN,NaN,1,-9.99992497570481,-2.4999812439262,3.13694245465381,3.13694245465381,0.227801446685021,0.848681228574958,0.00869747066597481,-0.0431373336850708,-0.645561429241715,0.109454531871589,1.04204281224088,1.72204410450169,-0.680001292260811,0.294118644871539,0.747924167369344,0.861022052250847,0.680001292260811,2.76408691674258,0.246012991900479,0.246012991900479,0.755015961113304,0.536106897370126,0.710060349690639,-0.755015961113304,-1,2.85585091926031,3.44408820900339,0.829203767718453,2.13085875471403e-16,mixed
square_dominant,square-dominant representative point,iPEPS,0.6,0,2,8,3,1,NaN,-1.3449222515946,0.564265203941808,0.485598985702549,-0.000197908568829678,0.152527028132267,0.000246295940872282,-0.000466640706238337,0.0658482388763747,0.0659384483564379,0.152108774798071,0.0864808806870626,0.0656278941110087,0.0652738990813699,0.0868348757167013,0.0760543873990356,0,0.304217549596143,0,0,0.131786687232813,-9.02094800631775e-05,-0.000684511326275427,-9.02094800631775e-05,-0.000684511326275427,0.0424139632113853,0.304217549596143,0.139419843686504,0,square-dominant
triangular_enhanced,triangular-enhanced representative point,iPEPS,-0.6,0,2,8,3,1,NaN,-1.34441324499395,0.564772356612738,0.485906975565625,2.46040436994639e-05,0.150400747185209,0.000125189498965847,-0.000574633701623997,-0.066015489320577,-0.065991817305623,0.14997590702625,0.216440840549485,-0.0664649335232351,-0.0665418469635476,0.216517753989798,0.141491343756517,0.133006780486783,0.432958594539283,0.307204388974694,0.307204388974694,0.1320073066262,2.36720149539432e-05,0.000179323520484925,-2.36720149539432e-05,-0.000179323520484925,0.565965375026066,0.565965375026066,1,0,triangular-enhanced
diagonal_selected,diagonal-selected representative point,iPEPS,0.6,0.25,2,8,3,1,NaN,-1.34926775779454,0.564994486707554,0.486280182799057,-0.0094684121010032,0.151627731360197,0.00957091286032655,0.000118014600801054,0.0931827674142076,0.00556017843927329,0.151848246720321,0.0489765518449857,0.102871694875335,-0.00379021906092886,0.15563846578125,0.0778192328906249,0.00379021906092886,0.307486712501571,0.0123264482881012,0.0123264482881012,0.0987429458534809,0.0876225889749343,0.887380746215052,0.0876225889749343,0.887380746215052,0.213323827872528,0.3112769315625,0.685318461608184,0,diagonal-selected
mixed,mixed routing representative point,iPEPS,-0.6,0.25,2,8,3,1,NaN,-1.34947359583401,0.564274363119624,0.485907874850298,0.00949651933908142,0.151493834257578,-0.00959833842827031,-5.02219773135307e-05,-0.0930675042282513,0.00570967331422623,0.151341793191076,0.254057857824911,-0.102716064633835,0.0151559706759941,0.136185822515082,0.127028928912456,0.102716064633835,0.405399651015987,0.253369889136349,0.253369889136349,0.0987771775424775,0.0873578309140251,0.88439286369018,-0.0987771775424775,-1,0.477803774297834,0.508115715649822,0.940344412860321,0,mixed
